repayment_id,loan_id,due_date,payment_date,amount_due,amount_paid
58,2,2023-07-23,2023-07-23,1290.77,1290.77
59,2,2023-08-22,2023-08-22,1290.77,1290.77
60,2,2023-09-21,2023-09-21,1290.77,1290.77
61,2,2023-10-21,2023-10-21,1290.77,1290.77
62,2,2023-11-20,2023-11-20,1290.77,1290.77
63,2,2023-12-20,2023-12-20,1290.77,1290.77
64,2,2024-01-19,2024-01-19,1290.77,1290.77
65,2,2024-02-18,2024-02-23,1290.77,1290.77
66,2,2024-03-19,2024-03-19,1290.77,1290.77
67,2,2024-04-18,2024-04-18,1290.77,1290.77
68,2,2024-05-18,2024-05-18,1290.77,1290.77
69,2,2024-06-17,2024-06-17,1290.77,1290.77
70,2,2024-07-17,2024-08-16,1290.77,1077.11
71,2,2024-08-16,2024-08-16,1290.77,1290.77
72,2,2024-09-15,2024-09-15,1290.77,1290.77
73,2,2024-10-15,2024-11-14,1290.77,753.73
74,2,2024-11-14,2024-11-14,1290.77,1290.77
75,2,2024-12-14,2024-12-14,1290.77,1290.77
76,2,2025-01-13,2025-01-18,1290.77,1290.77
77,2,2025-02-12,2025-02-22,1290.77,714.88
78,2,2025-03-14,2025-03-14,1290.77,1290.77
79,2,2025-04-13,2025-04-13,1290.77,1290.77
80,2,2025-05-13,2025-05-23,1290.77,1049.9
81,2,2025-06-12,2025-06-22,1290.77,779.05
82,2,2025-07-12,2025-07-22,1290.77,900.35
83,2,2025-08-11,2025-08-16,1290.77,1290.77
84,2,2025-09-10,2025-09-10,1290.77,1290.77
85,2,2025-10-10,2025-10-10,1290.77,1290.77
86,2,2025-11-09,2025-11-09,1290.77,1290.77
87,2,2025-12-09,2025-12-09,1290.77,1290.77
88,2,2026-01-08,2026-01-08,1290.77,1290.77
89,2,2026-02-07,2026-02-07,1290.77,1290.77
90,2,2026-03-09,2026-03-09,1290.77,1290.77
91,2,2026-04-08,2026-04-08,1290.77,1290.77
92,2,2026-05-08,2026-05-13,1290.77,1290.77
93,2,2026-06-07,2026-07-07,1290.77,849.48
94,2,2026-07-07,2026-07-12,1290.77,1290.77
95,2,2026-08-06,2026-08-06,1290.77,1290.77
96,2,2026-09-05,2026-09-10,1290.77,1290.77
97,3,2022-11-04,2022-11-04,12301.5,12301.5
98,3,2022-12-04,2022-12-04,12301.5,12301.5
99,3,2023-01-03,2023-02-02,12301.5,11164.13
100,3,2023-02-02,2023-03-04,12301.5,9988.26
101,3,2023-03-04,2023-03-04,12301.5,12301.5
102,3,2023-04-03,2023-04-03,12301.5,12301.5
103,3,2023-05-03,2023-05-03,12301.5,12301.5
104,3,2023-06-02,2023-06-07,12301.5,12301.5
105,3,2023-07-02,2023-07-02,12301.5,12301.5
106,3,2023-08-01,2023-08-11,12301.5,9223.52
107,3,2023-08-31,2023-08-31,12301.5,12301.5
108,3,2023-09-30,2023-10-30,12301.5,9448.67
109,3,2023-10-30,2023-11-09,12301.5,7205.35
110,3,2023-11-29,2023-11-29,12301.5,12301.5
111,3,2023-12-29,2024-01-08,12301.5,8145.77
112,3,2024-01-28,2024-02-27,12301.5,10433.61
113,3,2024-02-27,2024-03-28,12301.5,11837.45
114,3,2024-03-28,2024-04-27,12301.5,6968.38
115,3,2024-04-27,2024-04-27,12301.5,12301.5
116,3,2024-05-27,2024-06-26,12301.5,10835.88
117,3,2024-06-26,2024-07-26,12301.5,8106.49
118,3,2024-07-26,2024-08-25,12301.5,9116.21
119,3,2024-08-25,2024-08-25,12301.5,12301.5
120,3,2024-09-24,2024-09-24,12301.5,12301.5
121,4,2022-09-18,2022-09-28,7751.38,7410.71
122,4,2022-10-18,2022-10-23,7751.38,7751.38
123,4,2022-11-17,2022-11-22,7751.38,7751.38
124,4,2022-12-17,2022-12-27,7751.38,6358.42
125,4,2023-01-16,2023-01-16,7751.38,7751.38
126,4,2023-02-15,2023-02-25,7751.38,6152.53
127,4,2023-03-17,2023-03-17,7751.38,7751.38
128,4,2023-04-16,2023-04-16,7751.38,7751.38
129,4,2023-05-16,2023-05-16,7751.38,7751.38
130,4,2023-06-15,2023-06-25,7751.38,6817.11
131,4,2023-07-15,2023-07-15,7751.38,7751.38
132,4,2023-08-14,2023-08-14,7751.38,7751.38
133,4,2023-09-13,2023-09-13,7751.38,7751.38
134,4,2023-10-13,2023-11-12,7751.38,5536.41
135,4,2023-11-12,2023-11-12,7751.38,7751.38
136,4,2023-12-12,2023-12-22,7751.38,4183.38
137,4,2024-01-11,2024-01-11,7751.38,7751.38
138,4,2024-02-10,2024-02-10,7751.38,7751.38
139,4,2024-03-11,2024-03-16,7751.38,7751.38
140,4,2024-04-10,2024-04-10,7751.38,7751.38
141,4,2024-05-10,2024-05-10,7751.38,7751.38
142,4,2024-06-09,2024-06-09,7751.38,7751.38
143,4,2024-07-09,2024-07-14,7751.38,7751.38
144,4,2024-08-08,2024-08-08,7751.38,7751.38
145,5,2022-11-22,2022-12-22,1091.75,566.57
146,5,2022-12-22,2023-01-21,1091.75,872.35
147,5,2023-01-21,2023-01-26,1091.75,1091.75
148,5,2023-02-20,2023-03-22,1091.75,1024.79
149,5,2023-03-22,2023-03-22,1091.75,1091.75
150,5,2023-04-21,2023-04-21,1091.75,1091.75
151,5,2023-05-21,2023-05-21,1091.75,1091.75
152,5,2023-06-20,2023-07-20,1091.75,975.46
153,5,2023-07-20,2023-07-20,1091.75,1091.75
154,5,2023-08-19,2023-08-29,1091.75,978.09
155,5,2023-09-18,2023-09-23,1091.75,1091.75
156,5,2023-10-18,2023-11-17,1091.75,989.51
157,5,2023-11-17,2023-11-17,1091.75,1091.75
158,5,2023-12-17,2023-12-17,1091.75,1091.75
159,5,2024-01-16,2024-02-15,1091.75,726.71
160,5,2024-02-15,2024-02-15,1091.75,1091.75
161,5,2024-03-16,2024-03-16,1091.75,1091.75
162,5,2024-04-15,2024-04-25,1091.75,575.39
163,5,2024-05-15,2024-06-14,1091.75,1085.4
164,5,2024-06-14,2024-07-14,1091.75,925.96
165,5,2024-07-14,2024-07-14,1091.75,1091.75
166,5,2024-08-13,2024-08-23,1091.75,1022.26
167,5,2024-09-12,2024-09-22,1091.75,721.45
168,5,2024-10-12,2024-10-17,1091.75,1091.75
169,5,2024-11-11,2024-12-11,1091.75,549.17
170,5,2024-12-11,2024-12-16,1091.75,1091.75
171,5,2025-01-10,2025-01-10,1091.75,1091.75
172,5,2025-02-09,2025-02-09,1091.75,1091.75
173,5,2025-03-11,2025-03-11,1091.75,1091.75
174,5,2025-04-10,2025-05-10,1091.75,1087.39
175,5,2025-05-10,2025-05-10,1091.75,1091.75
176,5,2025-06-09,2025-06-09,1091.75,1091.75
177,5,2025-07-09,2025-07-09,1091.75,1091.75
178,5,2025-08-08,2025-08-08,1091.75,1091.75
179,5,2025-09-07,2025-09-17,1091.75,845.48
180,5,2025-10-07,2025-10-07,1091.75,1091.75
181,5,2025-11-06,2025-11-06,1091.75,1091.75
182,5,2025-12-06,2025-12-16,1091.75,588.54
183,5,2026-01-05,2026-02-04,1091.75,800.84
184,5,2026-02-04,2026-02-04,1091.75,1091.75
185,5,2026-03-06,2026-04-05,1091.75,653.71
186,5,2026-04-05,2026-04-10,1091.75,1091.75
187,5,2026-05-05,2026-05-05,1091.75,1091.75
188,5,2026-06-04,2026-06-14,1091.75,681.78
189,5,2026-07-04,2026-07-04,1091.75,1091.75
190,5,2026-08-03,2026-08-13,1091.75,790.58
191,5,2026-09-02,2026-10-02,1091.75,655.81
192,5,2026-10-02,2026-10-07,1091.75,1091.75
193,5,2026-11-01,2026-11-01,1091.75,1091.75
194,5,2026-12-01,2026-12-01,1091.75,1091.75
195,5,2026-12-31,2027-01-05,1091.75,1091.75
196,5,2027-01-30,2027-02-04,1091.75,1091.75
197,5,2027-03-01,2027-03-01,1091.75,1091.75
198,5,2027-03-31,2027-04-05,1091.75,1091.75
199,5,2027-04-30,2027-05-05,1091.75,1091.75
200,5,2027-05-30,2027-06-04,1091.75,1091.75
201,5,2027-06-29,2027-07-09,1091.75,878.53
202,5,2027-07-29,2027-08-03,1091.75,1091.75
203,5,2027-08-28,2027-08-28,1091.75,1091.75
204,5,2027-09-27,2027-10-02,1091.75,1091.75
205,6,2023-06-04,2023-06-04,5935.79,5935.79
206,6,2023-07-04,2023-07-09,5935.79,5935.79
207,6,2023-08-03,2023-08-08,5935.79,5935.79
208,6,2023-09-02,2023-09-02,5935.79,5935.79
209,6,2023-10-02,2023-10-02,5935.79,5935.79
210,6,2023-11-01,2023-11-11,5935.79,4562.24
211,6,2023-12-01,2023-12-11,5935.79,5124.51
212,6,2023-12-31,2023-12-31,5935.79,5935.79
213,6,2024-01-30,2024-02-04,5935.79,5935.79
214,6,2024-02-29,2024-03-05,5935.79,5935.79
215,6,2024-03-30,2024-03-30,5935.79,5935.79
216,6,2024-04-29,2024-05-04,5935.79,5935.79
217,6,2024-05-29,2024-05-29,5935.79,5935.79
218,6,2024-06-28,2024-07-03,5935.79,5935.79
219,6,2024-07-28,2024-08-07,5935.79,4766.52
220,6,2024-08-27,2024-08-27,5935.79,5935.79
221,6,2024-09-26,2024-09-26,5935.79,5935.79
222,6,2024-10-26,2024-10-26,5935.79,5935.79
223,6,2024-11-25,2024-12-25,5935.79,4360.61
224,6,2024-12-25,2024-12-25,5935.79,5935.79
225,6,2025-01-24,2025-01-24,5935.79,5935.79
226,6,2025-02-23,2025-02-23,5935.79,5935.79
227,6,2025-03-25,2025-03-25,5935.79,5935.79
228,6,2025-04-24,2025-05-04,5935.79,5135.55
229,6,2025-05-24,2025-05-24,5935.79,5935.79
230,6,2025-06-23,2025-06-28,5935.79,5935.79
231,6,2025-07-23,2025-07-28,5935.79,5935.79
232,6,2025-08-22,2025-08-27,5935.79,5935.79
233,6,2025-09-21,2025-09-26,5935.79,5935.79
234,6,2025-10-21,2025-11-20,5935.79,4075.35
235,6,2025-11-20,2025-11-25,5935.79,5935.79
236,6,2025-12-20,2025-12-20,5935.79,5935.79
237,6,2026-01-19,2026-02-18,5935.79,5898.76
238,6,2026-02-18,2026-02-18,5935.79,5935.79
239,6,2026-03-20,2026-03-25,5935.79,5935.79
240,6,2026-04-19,2026-04-19,5935.79,5935.79
241,6,2026-05-19,2026-05-19,5935.79,5935.79
242,6,2026-06-18,2026-06-23,5935.79,5935.79
243,6,2026-07-18,2026-07-28,5935.79,3449.77
244,6,2026-08-17,2026-08-22,5935.79,5935.79
245,6,2026-09-16,2026-09-16,5935.79,5935.79
246,6,2026-10-16,2026-11-15,5935.79,4002.44
247,6,2026-11-15,2026-12-15,5935.79,4418.07
248,6,2026-12-15,2027-01-14,5935.79,4060.62
249,6,2027-01-14,2027-01-14,5935.79,5935.79
250,6,2027-02-13,2027-03-15,5935.79,4111.52
251,6,2027-03-15,2027-03-20,5935.79,5935.79
252,6,2027-04-14,2027-05-14,5935.79,3700.35
253,7,2021-09-06,2021-09-11,1520.75,1520.75
254,7,2021-10-06,2021-10-06,1520.75,1520.75
255,7,2021-11-05,2021-11-05,1520.75,1520.75
256,7,2021-12-05,2022-01-04,1520.75,1297.62
257,7,2022-01-04,2022-01-04,1520.75,1520.75
258,7,2022-02-03,2022-03-05,1520.75,1266.54
259,7,2022-03-05,2022-03-05,1520.75,1520.75
260,7,2022-04-04,2022-04-04,1520.75,1520.75
261,7,2022-05-04,2022-05-14,1520.75,1106.7
262,7,2022-06-03,2022-07-03,1520.75,872.43
263,7,2022-07-03,2022-07-03,1520.75,1520.75
264,7,2022-08-02,2022-08-12,1520.75,1200.13
265,8,2022-07-31,2022-08-30,2482.67,2285.94
266,8,2022-08-30,2022-08-30,2482.67,2482.67
267,8,2022-09-29,2022-09-29,2482.67,2482.67
268,8,2022-10-29,2022-10-29,2482.67,2482.67
269,8,2022-11-28,2022-12-28,2482.67,2124.68
270,8,2022-12-28,2023-01-02,2482.67,2482.67
271,8,2023-01-27,2023-02-01,2482.67,2482.67
272,8,2023-02-26,2023-03-28,2482.67,1968.95
273,8,2023-03-28,2023-03-28,2482.67,2482.67
274,8,2023-04-27,2023-05-07,2482.67,2370.88
275,8,2023-05-27,2023-06-01,2482.67,2482.67
276,8,2023-06-26,2023-06-26,2482.67,2482.67
277,8,2023-07-26,2023-07-31,2482.67,2482.67
278,8,2023-08-25,2023-08-25,2482.67,2482.67
279,8,2023-09-24,2023-10-24,2482.67,1616.49
280,8,2023-10-24,2023-11-03,2482.67,2058.73
281,8,2023-11-23,2023-11-28,2482.67,2482.67
282,8,2023-12-23,2024-01-02,2482.67,1623.64
283,8,2024-01-22,2024-01-27,2482.67,2482.67
284,8,2024-02-21,2024-03-22,2482.67,2320.57
285,8,2024-03-22,2024-03-22,2482.67,2482.67
286,8,2024-04-21,2024-05-21,2482.67,1952.14
287,8,2024-05-21,2024-05-21,2482.67,2482.67
288,8,2024-06-20,2024-06-20,2482.67,2482.67
289,8,2024-07-20,2024-07-20,2482.67,2482.67
290,8,2024-08-19,2024-09-18,2482.67,1501.42
291,8,2024-09-18,2024-10-18,2482.67,1735.35
292,8,2024-10-18,2024-10-18,2482.67,2482.67
293,8,2024-11-17,2024-11-17,2482.67,2482.67
294,8,2024-12-17,2024-12-17,2482.67,2482.67
295,8,2025-01-16,2025-01-21,2482.67,2482.67
296,8,2025-02-15,2025-02-15,2482.67,2482.67
297,8,2025-03-17,2025-03-17,2482.67,2482.67
298,8,2025-04-16,2025-04-16,2482.67,2482.67
299,8,2025-05-16,2025-06-15,2482.67,1760.01
300,8,2025-06-15,2025-06-20,2482.67,2482.67
301,9,2021-06-07,2021-07-07,2662.3,1714.97
302,9,2021-07-07,2021-07-12,2662.3,2662.3
303,9,2021-08-06,2021-08-06,2662.3,2662.3
304,9,2021-09-05,2021-09-05,2662.3,2662.3
305,9,2021-10-05,2021-10-05,2662.3,2662.3
306,9,2021-11-04,2021-11-04,2662.3,2662.3
307,9,2021-12-04,2022-01-03,2662.3,1509.97
308,9,2022-01-03,2022-01-08,2662.3,2662.3
309,9,2022-02-02,2022-02-02,2662.3,2662.3
310,9,2022-03-04,2022-03-14,2662.3,2593.72
311,9,2022-04-03,2022-04-08,2662.3,2662.3
312,9,2022-05-03,2022-05-13,2662.3,2415.2
313,9,2022-06-02,2022-06-02,2662.3,2662.3
314,9,2022-07-02,2022-07-02,2662.3,2662.3
315,9,2022-08-01,2022-08-01,2662.3,2662.3
316,9,2022-08-31,2022-09-30,2662.3,1574.39
317,9,2022-09-30,2022-09-30,2662.3,2662.3
318,9,2022-10-30,2022-10-30,2662.3,2662.3
319,9,2022-11-29,2022-12-04,2662.3,2662.3
320,9,2022-12-29,2023-01-03,2662.3,2662.3
321,9,2023-01-28,2023-02-27,2662.3,2546.45
322,9,2023-02-27,2023-02-27,2662.3,2662.3
323,9,2023-03-29,2023-04-28,2662.3,1552.29
324,9,2023-04-28,2023-04-28,2662.3,2662.3
325,9,2023-05-28,2023-05-28,2662.3,2662.3
326,9,2023-06-27,2023-07-02,2662.3,2662.3
327,9,2023-07-27,2023-07-27,2662.3,2662.3
328,9,2023-08-26,2023-08-26,2662.3,2662.3
329,9,2023-09-25,2023-09-25,2662.3,2662.3
330,9,2023-10-25,2023-10-25,2662.3,2662.3
331,9,2023-11-24,2023-11-24,2662.3,2662.3
332,9,2023-12-24,2024-01-03,2662.3,1643.68
333,9,2024-01-23,2024-01-28,2662.3,2662.3
334,9,2024-02-22,2024-03-23,2662.3,2343.53
335,9,2024-03-23,2024-03-23,2662.3,2662.3
336,9,2024-04-22,2024-04-22,2662.3,2662.3
337,9,2024-05-22,2024-05-22,2662.3,2662.3
338,9,2024-06-21,2024-06-21,2662.3,2662.3
339,9,2024-07-21,2024-08-20,2662.3,2106.47
340,9,2024-08-20,2024-08-20,2662.3,2662.3
341,9,2024-09-19,2024-09-19,2662.3,2662.3
342,9,2024-10-19,2024-10-19,2662.3,2662.3
343,9,2024-11-18,2024-11-28,2662.3,2385.14
344,9,2024-12-18,2024-12-23,2662.3,2662.3
345,9,2025-01-17,2025-01-27,2662.3,2023.45
346,9,2025-02-16,2025-02-16,2662.3,2662.3
347,9,2025-03-18,2025-03-23,2662.3,2662.3
348,9,2025-04-17,2025-04-22,2662.3,2662.3
349,9,2025-05-17,2025-05-17,2662.3,2662.3
350,9,2025-06-16,2025-06-26,2662.3,1902.82
351,9,2025-07-16,2025-07-16,2662.3,2662.3
352,9,2025-08-15,2025-09-14,2662.3,2516.08
353,9,2025-09-14,2025-09-14,2662.3,2662.3
354,9,2025-10-14,2025-10-14,2662.3,2662.3
355,9,2025-11-13,2025-11-13,2662.3,2662.3
356,9,2025-12-13,2026-01-12,2662.3,1861.58
357,9,2026-01-12,2026-01-22,2662.3,1407.35
358,9,2026-02-11,2026-02-11,2662.3,2662.3
359,9,2026-03-13,2026-03-13,2662.3,2662.3
360,9,2026-04-12,2026-04-12,2662.3,2662.3
361,10,2023-08-15,2023-08-15,978.82,978.82
362,10,2023-09-14,2023-09-19,978.82,978.82
363,10,2023-10-14,2023-11-13,978.82,686.06
364,10,2023-11-13,2023-11-13,978.82,978.82
365,10,2023-12-13,2023-12-13,978.82,978.82
366,10,2024-01-12,2024-01-22,978.82,549.55
367,10,2024-02-11,2024-02-21,978.82,626.18
368,10,2024-03-12,2024-04-11,978.82,857.17
369,10,2024-04-11,2024-04-11,978.82,978.82
370,10,2024-05-11,2024-05-11,978.82,978.82
371,10,2024-06-10,2024-06-15,978.82,978.82
372,10,2024-07-10,2024-07-20,978.82,825.23
373,10,2024-08-09,2024-08-14,978.82,978.82
374,10,2024-09-08,2024-09-18,978.82,691.6
375,10,2024-10-08,2024-10-08,978.82,978.82
376,10,2024-11-07,2024-11-07,978.82,978.82
377,10,2024-12-07,2025-01-06,978.82,958.04
378,10,2025-01-06,2025-01-06,978.82,978.82
379,10,2025-02-05,2025-02-05,978.82,978.82
380,10,2025-03-07,2025-04-06,978.82,665.7
381,10,2025-04-06,2025-04-06,978.82,978.82
382,10,2025-05-06,2025-06-05,978.82,648.72
383,10,2025-06-05,2025-06-10,978.82,978.82
384,10,2025-07-05,2025-07-05,978.82,978.82
385,10,2025-08-04,2025-08-14,978.82,726.54
386,10,2025-09-03,2025-10-03,978.82,789.22
387,10,2025-10-03,2025-10-03,978.82,978.82
388,10,2025-11-02,2025-11-02,978.82,978.82
389,10,2025-12-02,2025-12-07,978.82,978.82
390,10,2026-01-01,2026-01-06,978.82,978.82
391,10,2026-01-31,2026-03-02,978.82,908.88
392,10,2026-03-02,2026-03-02,978.82,978.82
393,10,2026-04-01,2026-05-01,978.82,677.76
394,10,2026-05-01,2026-05-11,978.82,584.88
395,10,2026-05-31,2026-05-31,978.82,978.82
396,10,2026-06-30,2026-07-10,978.82,918.24
397,10,2026-07-30,2026-08-29,978.82,736.38
398,10,2026-08-29,2026-08-29,978.82,978.82
399,10,2026-09-28,2026-10-03,978.82,978.82
400,10,2026-10-28,2026-10-28,978.82,978.82
401,10,2026-11-27,2026-11-27,978.82,978.82
402,10,2026-12-27,2027-01-26,978.82,977.01
403,10,2027-01-26,2027-01-31,978.82,978.82
404,10,2027-02-25,2027-02-25,978.82,978.82
405,10,2027-03-27,2027-04-01,978.82,978.82
406,10,2027-04-26,2027-04-26,978.82,978.82
407,10,2027-05-26,2027-05-31,978.82,978.82
408,10,2027-06-25,2027-07-25,978.82,754.02
409,10,2027-07-25,2027-07-25,978.82,978.82
410,10,2027-08-24,2027-08-24,978.82,978.82
411,10,2027-09-23,2027-09-23,978.82,978.82
412,10,2027-10-23,2027-11-22,978.82,831.95
413,10,2027-11-22,2027-11-22,978.82,978.82
414,10,2027-12-22,2027-12-27,978.82,978.82
415,10,2028-01-21,2028-02-20,978.82,503.71
416,10,2028-02-20,2028-02-20,978.82,978.82
417,10,2028-03-21,2028-03-26,978.82,978.82
418,10,2028-04-20,2028-04-20,978.82,978.82
419,10,2028-05-20,2028-05-20,978.82,978.82
420,10,2028-06-19,2028-07-19,978.82,615.49
421,11,2023-04-07,2023-04-12,3599.11,3599.11
422,11,2023-05-07,2023-06-06,3599.11,2021.08
423,11,2023-06-06,2023-06-06,3599.11,3599.11
424,11,2023-07-06,2023-07-16,3599.11,2939.66
425,11,2023-08-05,2023-08-10,3599.11,3599.11
426,11,2023-09-04,2023-09-04,3599.11,3599.11
427,11,2023-10-04,2023-11-03,3599.11,2398.45
428,11,2023-11-03,2023-11-03,3599.11,3599.11
429,11,2023-12-03,2023-12-13,3599.11,3178.62
430,11,2024-01-02,2024-01-12,3599.11,1915.93
431,11,2024-02-01,2024-02-01,3599.11,3599.11
432,11,2024-03-02,2024-03-07,3599.11,3599.11
433,11,2024-04-01,2024-05-01,3599.11,3136.57
434,11,2024-05-01,2024-05-31,3599.11,2486.36
435,11,2024-05-31,2024-06-30,3599.11,3212.35
436,11,2024-06-30,2024-07-05,3599.11,3599.11
437,11,2024-07-30,2024-07-30,3599.11,3599.11
438,11,2024-08-29,2024-08-29,3599.11,3599.11
439,11,2024-09-28,2024-09-28,3599.11,3599.11
440,11,2024-10-28,2024-10-28,3599.11,3599.11
441,11,2024-11-27,2024-11-27,3599.11,3599.11
442,11,2024-12-27,2024-12-27,3599.11,3599.11
443,11,2025-01-26,2025-01-26,3599.11,3599.11
444,11,2025-02-25,2025-02-25,3599.11,3599.11
445,11,2025-03-27,2025-03-27,3599.11,3599.11
446,11,2025-04-26,2025-05-26,3599.11,2865.25
447,11,2025-05-26,2025-05-26,3599.11,3599.11
448,11,2025-06-25,2025-07-25,3599.11,3494.75
449,11,2025-07-25,2025-08-04,3599.11,2461.32
450,11,2025-08-24,2025-08-24,3599.11,3599.11
451,11,2025-09-23,2025-09-28,3599.11,3599.11
452,11,2025-10-23,2025-11-02,3599.11,3125.68
453,11,2025-11-22,2025-11-22,3599.11,3599.11
454,11,2025-12-22,2025-12-22,3599.11,3599.11
455,11,2026-01-21,2026-01-31,3599.11,2763.4
456,11,2026-02-20,2026-02-25,3599.11,3599.11
457,12,2023-03-23,2023-03-28,5783.06,5783.06
458,12,2023-04-22,2023-04-22,5783.06,5783.06
459,12,2023-05-22,2023-05-22,5783.06,5783.06
460,12,2023-06-21,2023-07-21,5783.06,5592.0
461,12,2023-07-21,2023-07-21,5783.06,5783.06
462,12,2023-08-20,2023-08-30,5783.06,4810.76
463,12,2023-09-19,2023-09-29,5783.06,3533.86
464,12,2023-10-19,2023-10-24,5783.06,5783.06
465,12,2023-11-18,2023-11-18,5783.06,5783.06
466,12,2023-12-18,2023-12-28,5783.06,5356.16
467,12,2024-01-17,2024-01-17,5783.06,5783.06
468,12,2024-02-16,2024-02-16,5783.06,5783.06
469,12,2024-03-17,2024-03-17,5783.06,5783.06
470,12,2024-04-16,2024-04-16,5783.06,5783.06
471,12,2024-05-16,2024-05-21,5783.06,5783.06
472,12,2024-06-15,2024-07-15,5783.06,4209.44
473,12,2024-07-15,2024-07-25,5783.06,3710.97
474,12,2024-08-14,2024-09-13,5783.06,4815.41
475,12,2024-09-13,2024-10-13,5783.06,2990.83
476,12,2024-10-13,2024-10-13,5783.06,5783.06
477,12,2024-11-12,2024-11-12,5783.06,5783.06
478,12,2024-12-12,2024-12-22,5783.06,5755.11
479,12,2025-01-11,2025-01-11,5783.06,5783.06
480,12,2025-02-10,2025-02-10,5783.06,5783.06
481,12,2025-03-12,2025-04-11,5783.06,4551.18
482,12,2025-04-11,2025-05-11,5783.06,5287.7
483,12,2025-05-11,2025-05-16,5783.06,5783.06
484,12,2025-06-10,2025-06-10,5783.06,5783.06
485,12,2025-07-10,2025-08-09,5783.06,5686.18
486,12,2025-08-09,2025-08-09,5783.06,5783.06
487,12,2025-09-08,2025-09-08,5783.06,5783.06
488,12,2025-10-08,2025-10-08,5783.06,5783.06
489,12,2025-11-07,2025-12-07,5783.06,3500.52
490,12,2025-12-07,2026-01-06,5783.06,5593.47
491,12,2026-01-06,2026-01-06,5783.06,5783.06
492,12,2026-02-05,2026-03-07,5783.06,5018.9
493,13,2022-06-29,2022-06-29,2322.42,2322.42
494,13,2022-07-29,2022-08-03,2322.42,2322.42
495,13,2022-08-28,2022-09-27,2322.42,1616.18
496,13,2022-09-27,2022-10-27,2322.42,2220.67
497,13,2022-10-27,2022-10-27,2322.42,2322.42
498,13,2022-11-26,2022-11-26,2322.42,2322.42
499,13,2022-12-26,2023-01-05,2322.42,1616.73
500,13,2023-01-25,2023-01-30,2322.42,2322.42
501,13,2023-02-24,2023-03-26,2322.42,1710.95
502,13,2023-03-26,2023-03-26,2322.42,2322.42
503,13,2023-04-25,2023-04-30,2322.42,2322.42
